label	isPartOf	subPropertyOf	equivalentProperty	subproperties	domainIncludes	rangeIncludes	inverseOf	supersedes	supersededBy	comment
byArtist					MusicAlbum, MusicRecording	MusicGroup, Person				The artist that performed this album or recording.
byDay	pending:				Schedule	DayOfWeek, Text				"Defines the day(s) of the week on which a recurring <a class=""localLink"" href=""/Event"">Event</a> takes place. May be specified using either <a class=""localLink"" href=""/DayOfWeek"">DayOfWeek</a>, or alternatively <a class=""localLink"" href=""/Text"">Text</a> conforming to iCal's syntax for byDay recurrence rules."
byMonth	pending:				Schedule	Integer				"Defines the month(s) of the year on which a recurring <a class=""localLink"" href=""/Event"">Event</a> takes place. Specified as an <a class=""localLink"" href=""/Integer"">Integer</a> between 1-12. January is 1."
byMonthDay	pending:				Schedule	Integer				"Defines the day(s) of the month on which a recurring <a class=""localLink"" href=""/Event"">Event</a> takes place. Specified as an <a class=""localLink"" href=""/Integer"">Integer</a> between 1-31."
byMonthWeek	pending:				Schedule	Integer				Defines the week(s) of the month on which a recurring Event takes place. Specified as an Integer between 1-5. For clarity, byMonthWeek is best used in conjunction with byDay to indicate concepts like the first and third Mondays of a month.
callSign	pending:	identifier			BroadcastService, Person, Vehicle	Text				"A <a href=""https://en.wikipedia.org/wiki/Call_sign"">callsign</a>, as used in broadcasting and radio communications to identify people, radio and TV stations, or vehicles."
calories					NutritionInformation	Energy				The number of calories.
candidate		object			VoteAction	Person				A sub property of object. The candidate subject of this action.
caption				embeddedTextCaption	AudioObject, ImageObject, VideoObject	MediaObject, Text				"The caption for this object. For downloadable machine formats (closed caption, subtitles etc.) use MediaObject and indicate the <a class=""localLink"" href=""/encodingFormat"">encodingFormat</a>."
carbohydrateContent					NutritionInformation	Mass				The number of grams of carbohydrates.
cargoVolume					Vehicle	QuantitativeValue				"The available volume for cargo or luggage. For automobiles, this is usually the trunk volume.<br/><br/>

Typical unit code(s): LTR for liters, FTQ for cubic foot/feet<br/><br/>

Note: You can use <a class=""localLink"" href=""/minValue"">minValue</a> and <a class=""localLink"" href=""/maxValue"">maxValue</a> to indicate ranges."
carrier					Flight, ParcelDelivery	Organization			provider	'carrier' is an out-dated term indicating the 'provider' for parcel delivery and flights.
carrierRequirements					MobileApplication	Text				Specifies specific carrier(s) requirements for the application (e.g. an application may only work on a specific carrier network).
cashBack	pending:				PaymentCard	Boolean, Number				A cardholder benefit that pays the cardholder a small percentage of their net expenditures.
catalog					Dataset	DataCatalog			includedInDataCatalog	A data catalog which contains this dataset.
catalogNumber					MusicRelease	Text				The catalog number for the release.
category				accommodationCategory	ActionAccessSpecification, Invoice, Offer, PhysicalActivity, Product, Recommendation, Service, SpecialAnnouncement	CategoryCode, PhysicalActivityCategory, Text, Thing, URL				A category for the item. Greater signs or slashes can be used to informally indicate a category hierarchy.
causeOf					MedicalCause	MedicalEntity				The condition, complication, symptom, sign, etc. caused.
ccRecipient		recipient			Message	ContactPoint, Organization, Person				A sub property of recipient. The recipient copied on a message.
character					CreativeWork	Person				Fictional person connected with a creative work.
characterAttribute					Game, VideoGameSeries	Thing				A piece of data that represents a particular aspect of a fictional character (skill, power, character points, advantage, disadvantage).
characterName					PerformanceRole	Text				The name of a character played in some acting or performing role, i.e. in a PerformanceRole.
cheatCode					VideoGame, VideoGameSeries	CreativeWork				Cheat codes to the game.
checkinTime					LodgingBusiness, LodgingReservation	DateTime, Time				The earliest someone may check into a lodging establishment.
checkoutPageURLTemplate	pending:				Offer	Text				A URL template (RFC 6570) for a checkout page for an offer. This approach allows merchants to specify a URL for online checkout of the offered product, by interpolating parameters such as the logged in user ID, product ID, quantity, discount code etc. Parameter naming and standardization are not specified here.
checkoutTime					LodgingBusiness, LodgingReservation	DateTime, Time				The latest someone may check out of a lodging establishment.
chemicalComposition	pending:				ChemicalSubstance	Text				The chemical composition describes the identity and relative ratio of the chemical elements that make up the substance.
chemicalRole	pending:				ChemicalSubstance, MolecularEntity	DefinedTerm				A role played by the BioChemEntity within a chemical context.
childMaxAge					ParentAudience	Number				Maximal age of the child.
childMinAge					ParentAudience	Number				Minimal age of the child.
childTaxon	pending:				Taxon	Taxon, Text, URL	parentTaxon			Closest child taxa of the taxon in question.
children					Person	Person				A child of the person.
cholesterolContent					NutritionInformation	Mass				The number of milligrams of cholesterol.
circle					GeoShape	Text				A circle is the circular region of a specified radius centered at a specified latitude and longitude. A circle is expressed as a pair followed by a radius in meters.
citation					CreativeWork	CreativeWork, Text				A citation or reference to another creative work, such as another publication, web page, scholarly article, etc.
claimInterpreter	pending:				Claim	Organization, Person				"For a <a class=""localLink"" href=""/Claim"">Claim</a> interpreted from <a class=""localLink"" href=""/MediaObject"">MediaObject</a> content
    sed to indicate a claim contained, implied or refined from the content of a <a class=""localLink"" href=""/MediaObject"">MediaObject</a>."
claimReviewed					ClaimReview	Text				A short summary of the specific claims reviewed in a ClaimReview.
clincalPharmacology					Drug	Text			clinicalPharmacology	Description of the absorption and elimination of drugs, including their concentration (pharmacokinetics, pK) and biological effects (pharmacodynamics, pD).
clinicalPharmacology					Drug	Text		clincalPharmacology		Description of the absorption and elimination of drugs, including their concentration (pharmacokinetics, pK) and biological effects (pharmacodynamics, pD).
clipNumber		position			Clip	Integer, Text				Position of the clip within an ordered group of clips.
closes					OpeningHoursSpecification	Time				The closing hour of the place or service on the given day(s) of the week.
coach					SportsTeam	Person				A person that acts in a coaching role for a sports team.
code					MedicalEntity	MedicalCode				A medical code for the entity, taken from a controlled vocabulary or ontology such as ICD-9, DiseasesDB, MeSH, SNOMED-CT, RxNorm, etc.
