label-dash	rangeIncludes	domainIncludes	label_snail	label	isPartOf	subPropertyOf	equivalentProperty	subproperties	inverseOf	supersedes	supersededBy	comment
produces	Thing	Service	produces	produces							serviceOutput	"The tangible thing generated by the service, e.g. a passport, permit, etc."
quest	Thing	"Game, VideoGameSeries"	quest	quest								"The task that a player-controlled character, or group of characters may complete in order to gain a reward."
replacee	Thing	ReplaceAction	replacee	replacee		object						A sub property of object. The object that is being replaced.
replacer	Thing	ReplaceAction	replacer	replacer		object						A sub property of object. The object that replaces.
reservation-for	Thing	Reservation	reservation_for	reservationFor								"The thing -- flight, event, restaurant, etc. being reserved."
result	Thing	Action	result	result				"resultComment, resultReview"				The result produced in the action. E.g. John wrote <em>a book</em>.
service-output	Thing	Service	service_output	serviceOutput						produces		"The tangible thing generated by the service, e.g. a passport, permit, etc."
target-collection	Thing	UpdateAction	target_collection	targetCollection		object				collection		A sub property of object. The collection target of the action.
reserved-ticket	Ticket	Reservation	reserved_ticket	reservedTicket								A ticket associated with the reservation.
closes	Time	OpeningHoursSpecification	closes	closes								The closing hour of the place or service on the given day(s) of the week.
cutoff-time	Time	ShippingDeliveryTime	cutoff_time	cutoffTime	pending:							"Order cutoff time allows merchants to describe the time after which they will no longer process orders received on that day. For orders processed after cutoff time, one day gets added to the delivery time estimate. This property is expected to be most typically used via the <a class=""localLink"" href=""/ShippingRateSettings"">ShippingRateSettings</a> publication pattern. The time is indicated using the ISO-8601 Time format, e.g. ""23:30:00-05:00"" would represent 6:30 pm Eastern Standard Time (EST) which is 5 hours behind Coordinated Universal Time (UTC)."
opens	Time	OpeningHoursSpecification	opens	opens								The opening hour of the place or service on the given day(s) of the week.
includes-attraction	TouristAttraction	TouristDestination	includes_attraction	includesAttraction	pending:							Attraction located at destination.
arrival-station	TrainStation	TrainTrip	arrival_station	arrivalStation								The station where the train trip ends.
departure-station	TrainStation	TrainTrip	departure_station	departureStation								The station from which the train departs.
part-of-trip	Trip	Trip	part_of_trip	partOfTrip	pending:				subTrip			"Identifies that this <a class=""localLink"" href=""/Trip"">Trip</a> is a subTrip of another Trip.  For example Day 1, Day 2, etc. of a multi-day trip."
sub-trip	Trip	Trip	sub_trip	subTrip	pending:				partOfTrip			"Identifies a <a class=""localLink"" href=""/Trip"">Trip</a> that is a subTrip of this Trip.  For example Day 1, Day 2, etc. of a multi-day trip."
part-of-tv-series	TVSeries	"TVClip, TVEpisode, TVSeason"	part_of_tv_series	partOfTVSeries		isPartOf					partOfSeries	The TV series to which this episode or season belongs.
includes-object	TypeAndQuantityNode	"Demand, Offer, ProductCollection"	includes_object	includesObject								"This links to a node or nodes indicating the exact quantity of the products included in  an <a class=""localLink"" href=""/Offer"">Offer</a> or <a class=""localLink"" href=""/ProductCollection"">ProductCollection</a>."
current-exchange-rate	UnitPriceSpecification	ExchangeRateSpecification	current_exchange_rate	currentExchangeRate	pending:							The current price of a currency.
price-component	UnitPriceSpecification	CompoundPriceSpecification	price_component	priceComponent								"This property links to all <a class=""localLink"" href=""/UnitPriceSpecification"">UnitPriceSpecification</a> nodes that apply in parallel for the <a class=""localLink"" href=""/CompoundPriceSpecification"">CompoundPriceSpecification</a> node."
blood-supply	Vessel	Muscle	blood_supply	bloodSupply								The blood vessel that carries blood from the heart to the muscle.
drains-to	Vessel	Vein	drains_to	drainsTo								The vasculature that the vein drains into.
originates-from	Vessel	LymphaticVessel	originates_from	originatesFrom								"The vasculature the lymphatic structure originates, or afferents, from."
runs-to	Vessel	LymphaticVessel	runs_to	runsTo								"The vasculature the lymphatic structure runs, or efferents, to."
game	VideoGame	GameServer	game	game					gameServer			Video game which is played on this server.
trailer	VideoObject	"CreativeWorkSeason, Episode, Movie, MovieSeries, RadioSeries, TVSeries, VideoGame, VideoGameSeries"	trailer	trailer								"The trailer of a movie or TV/radio series, season, episode, etc."
warranty	WarrantyPromise	"Demand, Offer"	warranty	warranty						warrantyPromise		The warranty promise(s) included in the offer.
warranty-promise	WarrantyPromise	"BuyAction, SellAction"	warranty_promise	warrantyPromise							warranty	The warranty promise(s) included in the offer.
warranty-scope	WarrantyScope	WarrantyPromise	warranty_scope	warrantyScope								The scope of the warranty promise.
main-content-of-page	WebPageElement	WebPage	main_content_of_page	mainContentOfPage						aspect		Indicates if this web page element is the main subject of the page.
xpath	XPathType	"SpeakableSpecification, WebPageElement"	xpath	xpath								"An XPath, e.g. of a <a class=""localLink"" href=""/SpeakableSpecification"">SpeakableSpecification</a> or <a class=""localLink"" href=""/WebPageElement"">WebPageElement</a>. In the latter case, multiple matches within a page can constitute a single conceptual ""Web page element""."
interaction-count			interaction_count	interactionCount							interactionStatistic	"This property is deprecated, alongside the UserInteraction types on which it depended."
